"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Banner","Create New Banner"
"Delete Banner","Delete Banner"
"Edit Banner '%1'","Edit Banner '%1'"
"ID","ID"
"New Banner","New Banner"
"Please Select Banners.","Please Select Banners."
"Save Banner","Save Banner"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Banner.","Something went wrong while saving the Banner."
"Status","Status"
"The Banner has been deleted.","The Banner has been deleted."
"The Banner has been saved.","The Banner has been saved."
"This Banner no longer exists.","This Banner no longer exists."
"Title","Title"
"Banner %1","Banner %1"
"Banner File","Banner File"
"Banner Information","Banner Information"
"Banner to delete was not found.","Banner to delete was not found."
"Banner","Banner"
"Banners","Banners"
